Bulan,Kecamatan,Pengguna_Aktif,Domisili_Usage(%),Pajak_Usage(%),Keluhan_Usage(%),Chatbot_Usage(%),Rating_Domisili,Rating_Pajak,Rating_Keluhan,Rating_Chatbot
Februari,Kecamatan Utara,1485,39.3,24,27.8,8.9,4,4.3,3.4,2.6
Februari,Kecamatan Timur,2419,36.4,22.5,22.5,18.5,4.6,4.3,3.9,2.5
Mei,Kecamatan Utara,2420,33.1,21.9,26.2,18.7,4.2,4.1,3.7,2.5
Januari,Kecamatan Selatan,1047,37.9,16.1,28.5,17.6,4.3,4.4,3.2,2
Januari,Kecamatan Timur,1059,31.6,15.9,29.1,23.4,4.2,4.2,3.4,2.7
Januari,Kecamatan Barat,3122,33.5,18,30,18.6,4.4,4.1,3.3,2.6
Mei,Kecamatan Barat,1162,30.3,19.8,25.6,24.3,4,4,3.4,2.9
Juni,Kecamatan Barat,3488,37.2,23.9,21.7,17.2,4.6,4,3.3,2.3
Maret,Kecamatan Barat,1451,33.7,17.7,25.5,23.1,4.4,4,3.5,2.4
Januari,Kecamatan Selatan,2923,39.9,20.6,21.9,17.6,4.3,4.2,4,3
Juni,Kecamatan Timur,2569,33.1,24.4,21.8,20.6,4.7,4.2,3.9,3
Mei,Kecamatan Selatan,2907,32.2,15.1,22.7,30,4.4,4.1,3.8,3
Juni,Kecamatan Selatan,3141,37.8,17.2,29.4,15.6,4.5,4.1,3.1,2
Juni,Kecamatan Timur,1360,39.3,16.8,21.6,22.3,4.4,3.9,3.2,3.1
Mei,Kecamatan Utara,1155,39,21.4,29.6,9.9,4.2,4.3,3.8,2.6
Februari,Kecamatan Utara,1616,37,23.7,25.6,13.7,4.6,4,3.8,2.4
April,Kecamatan Timur,1316,39.5,16.2,22.3,22,4.7,4.4,3.8,3.1
April,Kecamatan Timur,1898,35.5,15,23.8,25.7,4.2,4.3,3.2,2.4
April,Kecamatan Selatan,2363,38.5,22.6,21.9,16.9,4.2,4.4,3.1,2.1
Juni,Kecamatan Tengah,2806,31.8,22.6,27.6,18,4.4,4.2,3.6,2.5
April,Kecamatan Utara,1785,39.4,18,25.8,16.9,4.7,3.9,3.9,3.1
Juni,Kecamatan Selatan,1394,36.1,21.4,28.7,13.8,4.2,4.4,4,3.1
April,Kecamatan Timur,1234,37.3,22.1,24.3,16.3,4.4,3.9,3.2,2.3
Februari,Kecamatan Utara,3302,32.4,15.8,29.4,22.4,4.4,3.9,3,3.1
Maret,Kecamatan Utara,3082,38.8,21.7,21.6,17.9,4.5,4.3,3.2,2.9
Maret,Kecamatan Timur,1807,33.3,20.8,25.6,20.3,4.6,4.2,3.3,2
April,Kecamatan Selatan,3204,36.3,17.4,28.8,17.5,4.5,4.5,3.3,3.1
Maret,Kecamatan Utara,3373,38.7,18.3,25.3,17.7,4,4.3,3.6,2.2
Maret,Kecamatan Tengah,1709,34.9,21.7,24,19.4,4.4,4.5,3.4,3.1
April,Kecamatan Selatan,1861,36.1,22.8,28.6,12.5,4.2,4.3,3.5,2.6
April,Kecamatan Tengah,1576,33.4,21.4,29.1,16.1,4.6,4.2,3.1,2.3
Januari,Kecamatan Selatan,1510,32.1,24.2,28,15.7,4.8,4.2,3.9,2.5
Juni,Kecamatan Selatan,2860,38.5,17.4,21.9,22.3,4.6,4.2,3.4,3
Mei,Kecamatan Barat,3105,35.2,16.9,21.8,26.1,4.6,4.4,3.2,2.3
Januari,Kecamatan Utara,2344,39.5,21.3,29.5,9.6,4.1,4.5,3.7,2.5
Mei,Kecamatan Timur,2972,34,16.2,27.9,21.9,4.2,4.1,3.8,2.4
Februari,Kecamatan Tengah,2518,39.4,23,24.1,13.5,4.3,3.9,4,2.3
April,Kecamatan Barat,3383,32.3,21.1,24.1,22.5,4.7,4.5,3.2,2.6
Juni,Kecamatan Utara,2886,37.3,16,28.4,18.3,4.5,4.4,3.6,2.8
Maret,Kecamatan Selatan,2241,31.3,18.3,27.4,23,4.2,4,3.1,3.2
Februari,Kecamatan Selatan,2714,36.8,21.5,24.8,16.9,4.1,3.9,3.8,2.4
Maret,Kecamatan Tengah,2894,30.7,18.8,28.3,22.2,4.2,4.4,3.6,2.7
Juni,Kecamatan Selatan,2091,35.8,15.8,20.9,27.6,4.5,4.1,3.8,2.3
Februari,Kecamatan Selatan,2663,34.1,18.5,21.6,25.8,4.4,4.1,3.9,2.6
Februari,Kecamatan Timur,1041,35.3,21.2,26.3,17.2,4.2,4.1,3.5,3.2
Mei,Kecamatan Utara,1793,34.9,18.4,20.3,26.5,4,4.2,3,2.3
Mei,Kecamatan Timur,3068,31.7,20.5,23,24.8,4.2,4.2,3.6,3
Februari,Kecamatan Utara,1620,31.7,15.2,20.8,32.3,4.6,4.1,3.7,2.5
Februari,Kecamatan Barat,2921,30.3,23.2,20,26.4,4,4,4,3.1
Februari,Kecamatan Timur,3350,31.4,17.8,25.1,25.7,4.6,4.2,3.5,2.8
Februari,Kecamatan Tengah,1079,36.1,18.8,29.5,15.6,4.1,3.8,3.2,2.2
Maret,Kecamatan Tengah,1066,35.3,17.6,20.1,27,4.4,4.5,3,2.1
Februari,Kecamatan Tengah,1967,34.6,16.9,26.3,22.2,4.1,4.3,3.8,2.7
Februari,Kecamatan Tengah,2424,32.5,15.1,27.6,24.7,4.1,4,3.4,2.2
Mei,Kecamatan Timur,2397,36,18.4,28.1,17.6,4.5,3.9,3,2.7
Juni,Kecamatan Timur,1652,32.2,21.8,27,19,4.7,3.8,3.7,2.6
Juni,Kecamatan Tengah,2197,33.1,20.2,20.9,25.8,4.6,4.3,3.6,2.7
Juni,Kecamatan Tengah,1934,34.6,23.4,23.7,18.4,4.2,3.9,3.5,2.8
